date,value
5-8-2022,1500.4
12-12-2021,1800.51
9-11-2021,300.08
16-5-2021,3000.85
24-10-2021,60.6
24-5-2022,1500.4
13-3-2022,40.66
13-1-2021,600.16
4-11-2021,900.24
22-8-2021,600.16
25-12-2022,10.46
28-10-2022,15.15
31-7-2022,143.36
17-11-2022,600.16
3-6-2022,600.16
7-11-2021,3000.85
16-1-2021,30.3
5-1-2022,15.69
26-7-2021,600.16
7-3-2023,143.36
15-2-2023,300.08
1-5-2021,5.23
18-6-2022,600.16
26-10-2021,5250
16-12-2022,75.75
16-5-2021,71.68
20-4-2022,203.3
10-10-2022,2400.68
23-8-2022,1800.51
29-4-2021,121.98
4-7-2022,107.52
21-11-2021,300.08
23-2-2022,1800.51
11-7-2021,1200.32
30-8-2022,2400.68
4-1-2023,5.23
21-6-2022,1500.4
8-7-2022,600.16
27-2-2022,600.16
19-12-2022,300.08
10-9-2021,15.69
14-2-2022,81.32
28-4-2022,121.98
20-6-2022,2400.68
21-4-2022,1800.51
9-12-2022,75.75
12-1-2023,121.98
7-11-2022,1200.32
7-2-2022,121.98
13-6-2021,75.75
23-8-2021,203.3
24-2-2023,45.45
12-1-2023,81.32
22-2-2022,4200
12-3-2021,15.69
2-1-2022,300.08
26-11-2021,71.68
21-4-2021,1200.32
23-6-2021,15.69
14-12-2021,60.6
9-6-2022,1500.4
26-11-2021,300.08
5-2-2021,1200.32
6-3-2022,1200.32
9-5-2022,162.64
17-10-2022,107.52
22-1-2022,15.69
14-3-2021,58.65
27-4-2022,203.3
19-11-2021,5250
10-9-2022,3000.85
4-9-2021,162.64
21-8-2022,26.15
2-10-2021,3000.85
7-1-2023,107.52
8-6-2021,35.19
17-4-2021,1500.4
4-9-2021,2400.68
20-7-2022,26.15
14-7-2021,20.92
1-11-2022,71.68
6-1-2023,162.64
25-3-2021,23.46
8-9-2022,600.16
18-2-2022,5.23
22-4-2021,10.46
15-10-2022,1500.4
7-4-2022,3000.85
7-6-2022,5.23
22-1-2023,1200.32
22-8-2022,2100
3-10-2021,35.84
29-7-2021,58.65
16-12-2022,81.32
3-6-2021,107.52
17-12-2021,600.16
31-12-2022,1500.4
9-8-2022,15.69
31-7-2022,900.24
4-5-2021,20.92
25-5-2022,3150
23-12-2022,15.69
24-1-2023,1200.32
14-9-2021,1500.4
4-2-2022,40.66
6-1-2022,26.15
1-2-2022,1500.4
26-10-2022,1500.4
21-9-2022,1500.4
12-12-2021,162.64
21-8-2021,1200.32
8-10-2021,15.69
22-11-2021,45.45
19-3-2022,300.08
19-10-2022,58.65
12-1-2022,600.16
7-6-2021,143.36
15-1-2023,300.08
11-11-2021,1200.32
21-9-2022,600.16
30-5-2021,162.64
23-12-2021,300.08
30-4-2022,2100
7-6-2021,143.36
21-2-2022,179.2
26-8-2021,900.24
15-12-2021,26.15
20-2-2021,300.08
8-10-2021,600.16
1-8-2022,900.24
9-9-2021,1200.32
25-10-2021,26.15
14-12-2021,5.23
20-6-2021,1500.4
7-4-2021,300.08
5-12-2021,60.6
25-5-2021,40.66
12-4-2022,45.45
16-12-2021,1200.32
21-2-2021,2100
26-10-2021,900.24
18-12-2022,35.84
19-9-2022,300.08
1-2-2023,600.16
5-10-2022,15.69
28-11-2021,81.32
3-8-2021,3000.85
12-10-2022,1200.32
28-9-2022,10.46
12-7-2021,15.69
3-7-2021,143.36
26-3-2022,162.64
17-5-2022,143.36
11-4-2022,58.65
22-10-2021,26.15
20-12-2021,203.3
17-3-2022,300.08
23-6-2022,58.65
19-6-2021,3150
30-8-2022,300.08
20-11-2021,1200.32
31-7-2021,10.46
20-2-2022,71.68
9-2-2023,1500.4
24-3-2021,300.08
25-8-2022,5.23
21-10-2021,162.64
28-5-2022,10.46
5-3-2022,58.65
5-10-2021,600.17
16-4-2021,1200.32
26-2-2023,71.68
20-3-2021,300.08
15-5-2022,58.65
31-1-2023,35.84
2-10-2021,162.64
3-8-2022,1500.4
28-3-2021,3150
21-11-2022,162.64
12-2-2021,23.46
3-4-2021,900.24
3-7-2022,5.23
14-2-2021,20.92
15-7-2022,162.64
12-7-2021,1200.32
19-5-2022,121.98
13-2-2023,162.64
27-11-2022,203.3
2-3-2021,15.69
16-10-2021,143.36
4-11-2021,600.16
11-1-2023,300.08
8-6-2022,121.98
24-5-2021,1200.32
18-1-2021,203.3
22-7-2021,60.6
25-9-2022,2100
10-9-2021,900.24
16-1-2022,35.19
13-11-2022,203.3
14-3-2021,23.46
23-7-2022,121.98
24-6-2021,35.84
30-1-2021,3000.85
17-4-2022,15.15
23-2-2023,40.66
5-7-2021,45.45
31-8-2021,75.75
9-9-2022,23.46
4-11-2021,10.46
30-6-2022,1500.4
24-7-2021,600.17
15-4-2022,1500.4
25-9-2021,10.46
24-8-2021,75.75
26-1-2021,3000.85
5-2-2022,81.32
9-12-2022,15.69
14-2-2021,1500.4
17-7-2022,5.23
3-1-2021,1800.51
22-9-2022,1200.32
27-6-2021,162.64
3-2-2023,162.64
29-7-2021,300.08
8-12-2022,900.24
11-8-2022,1500.4
13-9-2021,15.69
27-5-2022,143.36
7-12-2022,1200.32
5-1-2022,1500.4
5-4-2022,162.64
